ShortTitle,Cameron,Manuscript,NRKart,ASM,StartDate,EndDate,Origin,OriginHypothetical,OriginGeocode
HomS 15,B3.2.15,CCCC 419,68.13,108,1000,1049,SE England (Canterbury?),"Canterbury, UK","51.280233,1.078909"
HomS 16,B3.2.16,Bodley 340,309.22,569,1000,1009,Canterbury or Rochester,"Canterbury, UK","51.280233,1.078909"
HomS 16,B3.2.16,CCCC 198,48.22,64,1000,1049,Worcester?,"Worcester, UK","52.193636,-2.221575"
HomS 17,B3.2.17,Blickling,382.5,905,0960,0999,Mercia?,"Mercia, UK","52.879275,-2.057187"
HomS 18,B3.2.18,Bodley 340,309.23,569,1000,1009,Canterbury or Rochester,"Canterbury, UK","51.280233,1.078909"
HomS 18,B3.2.18,CCCC 162,38.28,50,1090,1109,SE England,"SE England, UK","51.10914,-0.187228"
HomS 18,B3.2.18,CCCC 198,48.23,64,1000,1049,Worcester?,"Worcester, UK","52.193636,-2.221575"
HomS 19,B3.2.19,CCCC 41,32.18,39,1000,1059,S England,"S England, UK","50.9097,-1.404351"
HomS 2,B3.2.2,Vercelli,394.18,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomS 21,B3.2.21,Blickling,382.6,905,0960,0999,Mercia?,"Mercia, UK","52.879275,-2.057187"
HomS 21,B3.2.21,Cotton Faustina A.ix,153.23,,1100,1149,SE England,"SE England, UK","51.10914,-0.187228"
HomS 22,B3.2.22,Bodley 340,309.24,569,1000,1009,Canterbury or Rochester,"Canterbury, UK","51.280233,1.078909"
HomS 22,B3.2.22,CCCC 162,38.29,50,1090,1109,SE England,"SE England, UK","51.10914,-0.187228"
HomS 22,B3.2.22,CCCC 198,48.24,64,1000,1049,Worcester?,"Worcester, UK","52.193636,-2.221575"
HomS 22,B3.2.22,CCCC 302,56.27,86,1090,1109,SE England?,"SE England, UK","51.10914,-0.187228"
HomS 22,B3.2.22,Cotton Faustina A.ix,153.24,,1100,1149,SE England,"SE England, UK","51.10914,-0.187228"
HomS 23,B3.2.23,CCCC 190,45.21,59.5,1050,1074,Exeter,"Exeter, UK","50.718412,-3.533899"
HomS 24,B3.2.24,Bodley 340,309.25,569,1000,1009,Canterbury or Rochester,"Canterbury, UK","51.280233,1.078909"
HomS 24,B3.2.24,CCCC 162,38.3,50,1090,1109,SE England,"SE England, UK","51.10914,-0.187228"
HomS 24,B3.2.24,CCCC 198,48.25,64,1000,1049,Worcester?,"Worcester, UK","52.193636,-2.221575"
HomS 24,B3.2.24,CCCC 303,57.15,,1150,1159,Rochester,"Rochester, UK","51.388,0.506721"
HomS 24,B3.2.24,Vercelli,394.1,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomS 25,B3.2.25,Bodley 340,309.26,569,1000,1009,Canterbury or Rochester,"Canterbury, UK","51.280233,1.078909"
HomS 25,B3.2.25,CCCC 162,38.31,50,1090,1109,SE England,"SE England, UK","51.10914,-0.187228"
HomS 25,B3.2.25,CCCC 198,48.26,64,1000,1049,Worcester?,"Worcester, UK","52.193636,-2.221575"
HomS 26,B3.2.26,Blickling,382.7,905,0960,0999,Mercia?,"Mercia, UK","52.879275,-2.057187"
HomS 27,B3.2.27,CCCC 162,38.32,50,1090,1109,SE England,"SE England, UK","51.10914,-0.187228"
HomS 28,B3.2.28,Junius 121,338.33,644,1050,1099,Worcester,"Worcester, UK","52.193636,-2.221575"
HomS 29,B3.2.29,CCCC 303,57.17,,1150,1159,Rochester,"Rochester, UK","51.388,0.506721"
HomS 29,B3.2.29,CCCC 41,32.13,39,1000,1059,S England,"S England, UK","50.9097,-1.404351"
HomS 3,B3.2.3,Bodley 340,309.7,569,1000,1009,Canterbury or Rochester,"Canterbury, UK","51.280233,1.078909"
HomS 3,B3.2.3,CCCC 198,48.7,64,1000,1049,Worcester?,"Worcester, UK","52.193636,-2.221575"
HomS 3,B3.2.3,Vercelli,394.1,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomS 30,B3.2.30,Hatton 113+114,331.52,637-638,1064,1083,Worcester,"Worcester, UK","52.193636,-2.221575"
HomS 31,B3.2.31,Hatton 113+114,331.53,637-638,1064,1083,Worcester,"Worcester, UK","52.193636,-2.221575"
HomS 32,B3.2.32,Hatton 113+114,331.54,637-638,1064,1083,Worcester,"Worcester, UK","52.193636,-2.221575"
HomS 33,B3.2.33,Hatton 116,333.26,,1125,1149,Worcester,"Worcester, UK","52.193636,-2.221575"
HomS 34,B3.2.34,CCCC 162,38.35,50,1090,1109,SE England,"SE England, UK","51.10914,-0.187228"
HomS 34,B3.2.34,CCCC 303,56.43,,1150,1159,Rochester,"Rochester, UK","51.388,0.506721"
HomS 34,B3.2.34,Cotton Cleopatra B.xiii,144.6,322,1050,1074,Exeter,"Exeter, UK","50.718412,-3.533899"
HomS 34,B3.2.34,Vercelli,394.24,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomS 35,B3.2.35,CCCC 302,56.31,86,1090,1109,SE England?,"SE England, UK","51.10914,-0.187228"
HomS 36,B3.2.36,Vercelli,394.13,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomS 37,B3.2.37,Hatton 113+114,331.55,637-638,1064,1083,Worcester,"Worcester, UK","52.193636,-2.221575"
HomS 38,B3.2.38,CCCC 162,38.36,50,1090,1109,SE England,"SE England, UK","51.10914,-0.187228"
